     1→import { PrismaClient } from '@prisma/client'
     2→
     3→const db = new PrismaClient()
     4→
     5→async function seed() {
     6→  console.log('🌱 Seeding NomadMY database...')
     7→
     8→  // Clear existing data
     9→  await db.wifiMetric.deleteMany()
    10→  await db.transitAccess.deleteMany()
    11→  await db.venueCost.deleteMany()
    12→  await db.workProfile.deleteMany()
    13→  await db.location.deleteMany()
    14→
    15→  const locations = [
    16→    // ─── Kuala Lumpur ─────────────────────────────────────────────
    17→    {
    18→      name: "Common Ground Tropical City",
    19→      googlePlaceId: "ChIJW4V8UxRJzDERRh6WkMuYHjg",
    20→      formattedAddress: "G-03, Oasis Square, No. 2, Jalan PJU 6/2, Oasis Boulevard, 47400 Petaling Jaya, Selangor",
    21→      category: "coworking",
    22→      state: "Selangor",
    23→      district: "Petaling",
    24→      area: "Petaling Jaya",
    25→      latitude: 3.1075,
    26→      longitude: 101.6168,
    27→      googleRating: 4.4,
    28→      googleUserRatingsTotal: 283,
    29→      googleMapsUrl: "https://maps.google.com/?cid=1234567890",
    30→      isOperational: true,
    31→      workProfile: {
    32→        powerOutlets: "high",
    33→        noiseLevel: "quiet",
    34→        seatingType: "ergonomic",
    35→        laptopPolicy: "friendly_unlimited",
    36→        hasAirCon: true,
    37→        callFriendly: true,
    38→      },
    39→      venueCost: { coffeePriceMyr: 14.00, dayPassMyr: 45.00, minSpendMyr: 0 },
    40→      wifiMetrics: [
    41→        { downloadMbps: 185, uploadMbps: 92, pingMs: 8 },
    42→        { downloadMbps: 210, uploadMbps: 105, pingMs: 6 },
    43→      ],
    44→      transit: [
    45→        { nearestStationName: "Taman Jaya LRT", stationLine: "LRT Kelana Jaya Line", walkTimeMins: 7, distanceMeters: 450 },
    46→      ],
    47→    },
    48→    {
    49→      name: "WORQ Coworking Space KL Sentral",
    50→      googlePlaceId: "ChIJ3zurT8lJzDEREqRv6FvZBiI",
    51→      formattedAddress: "Level 2, Nu Sentral, Jalan Tun Sambanthan, 50470 Kuala Lumpur",
    52→      category: "coworking",
    53→      state: "Kuala Lumpur",
    54→      district: "Kuala Lumpur",
    55→      area: "KL Sentral",
    56→      latitude: 3.1333,
    57→      longitude: 101.6867,
    58→      googleRating: 4.5,
    59→      googleUserRatingsTotal: 542,
    60→      googleMapsUrl: "https://maps.google.com/?cid=2345678901",
    61→      isOperational: true,
    62→      workProfile: {
    63→        powerOutlets: "high",
    64→        noiseLevel: "quiet",
    65→        seatingType: "ergonomic",
    66→        laptopPolicy: "friendly_unlimited",
    67→        hasAirCon: true,
    68→        callFriendly: true,
    69→      },
    70→      venueCost: { coffeePriceMyr: 12.00, dayPassMyr: 55.00, minSpendMyr: 0 },
    71→      wifiMetrics: [
    72→        { downloadMbps: 250, uploadMbps: 120, pingMs: 5 },
    73→      ],
    74→      transit: [
    75→        { nearestStationName: "KL Sentral", stationLine: "KTM / LRT / Monorail / MRT", walkTimeMins: 2, distanceMeters: 120 },
    76→      ],
    77→    },
    78→    {
    79→      name: "VCR Coffee",
    80→      googlePlaceId: "ChIJd2R-L8tJzDER8FvJFWSWHuE",
    81→      formattedAddress: "21, Jalan Rembia, Off Jalan Telawi, Bangsar, 59000 Kuala Lumpur",
    82→      category: "cafe",
    83→      state: "Kuala Lumpur",
    84→      district: "Kuala Lumpur",
    85→      area: "Bangsar",
